ID,Chapter_Id,Speaker,Text_Kr,Text_En
Chapter_1_Front_1,Chapter_1_Front,Son,훌쩍 훌쩍...,Sniff... Sniff...
Chapter_1_Front_2,Chapter_1_Front,Son,훌쩍...,Sniff...
Chapter_1_Front_3,Chapter_1_Front,Son,아빠...,Daddy
Chapter_1_Front_4,Chapter_1_Front,Son,엄마는 어디간거야...?,Where did Mom go?
Chapter_1_Front_5,Chapter_1_Front,Father,...,...
Chapter_1_Front_6,Chapter_1_Front,Father,엄마는 저기 별나라로 갔어,Mom went to the land of stars over there.
Chapter_1_Front_7,Chapter_1_Front,Son,별나라?,Land of stars?
Chapter_1_Front_8,Chapter_1_Front,Father,그래 하늘을 봐,"Yeah, look at the sky."
Chapter_1_Front_9,Chapter_1_Front,Father,저 많은 별들 보이지?,Can you see all those stars?
Chapter_1_Front_10,Chapter_1_Front,Father,엄마는 저 멀리 떠났어,Mom has gone far away.
Chapter_1_Front_11,Chapter_1_Front,Father,한번 찾아볼래?,Want to check it out?
Chapter_1_Back_1,Chapter_1_Back,Father,잘했어,null
Chapter_1_Back_2,Chapter_1_Back,Father,너가 언젠가 아빠처럼 훌륭한 사람이 된다면,null
Chapter_1_Back_3,Chapter_1_Back,Father,엄마를 찾을 수 있게 될꺼야,null
Chapter_1_Back_4,Chapter_1_Back,Son,알겠어,null
Chapter_1_Back_5,Chapter_1_Back,Son,나도 아빠처럼 훌륭한 사람이 되도록,null
Chapter_1_Back_6,Chapter_1_Back,Son,밥도 잘 먹고 똥도 잘 싸고 잠도 잘 자고 ,null
Chapter_1_Back_7,Chapter_1_Back,Son,열심히 노력해볼게!,null
