ID,Speaker,Text_Ko,Text_En
Chapter_1_Front_1,Son,훌쩍 훌쩍...,Sniff... Sniff...
Chapter_1_Front_2,Son,훌쩍...,Sniff...
Chapter_1_Front_3,Son,아빠...,Daddy
Chapter_1_Front_4,Son,엄마는 어디간거야...?,Where did Mom go?
Chapter_1_Front_5,Father,...,...
Chapter_1_Front_6,Father,엄마는 저기 별나라로 갔어,Mom went to the land of stars over there.
Chapter_1_Front_7,Son,별나라?,Land of stars?
Chapter_1_Front_8,Father,그래 하늘을 봐,"Yeah, look at the sky."
Chapter_1_Front_9,Father,저 많은 별들 보이지?,Can you see all those stars?
Chapter_1_Front_10,Father,엄마는 저 멀리 떠났어,Mom has gone far away.
Chapter_1_Front_11,Father,한번 찾아볼래?,Want to check it out?
